No,Index,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1,logTg,Series
197,AF_42,1,2.521,3.476,10.129,0.618,0,3.726,1.946,0.0,0.0,0.796,4.342,3.387,0.328,1.922,2.5224,T
199,AF_50,2,2.607,3.534,10.558,1.0,0,5.334,4.263,3.219,0.0,1.0,5.218,3.784,0.045,1.914,2.5717,T
202,AF_55,1,1.609,3.146,7.624,-1.0,0,3.519,0.0,0.0,1.0,0.0,4.372,3.336,0.052,1.064,2.3404,T
203,AF_56,2,2.543,3.631,10.624,0.14,0,5.844,0.0,0.0,0.863,0.429,4.907,3.587,0.132,3.522,2.3674,T
204,AF_57,2,2.625,3.696,10.896,0.853,0,7.909,1.609,0.0,1.224,0.889,4.921,3.624,0.165,3.912,2.5775,T
206,AF_61,1,2.765,3.948,10.342,-1.0,0,1.543,0.0,0.0,0.811,0.0,4.25,3.531,-0.035,0.847,2.3385,T
207,AF_62,0,1.771,1.904,0.0,0.445,0,5.481,1.386,0.0,0.592,0.857,4.001,3.137,0.226,3.362,2.29,T
208,AF_64,2,2.55,3.64,10.678,1.594,0,11.299,2.485,2.303,0.592,1.0,4.911,3.605,0.572,6.387,2.3096,T
209,AF_66,0,1.802,1.802,0.0,0.445,0,5.455,1.386,0.0,0.0,0.857,3.998,3.133,0.359,2.124,2.4031,T
210,AF_68,1,2.118,2.928,8.733,0.186,0,5.571,1.609,0.0,0.592,0.714,4.156,3.205,0.251,3.405,2.3424,T
211,AF_70,1,2.815,4.494,13.005,-1.0,0,6.39,0.0,0.0,0.985,0.0,4.94,3.678,0.076,2.405,2.4031,T
213,AF_72,1,2.17,2.698,8.507,-1.0,0,3.987,0.0,0.0,0.0,0.0,4.23,3.183,0.193,1.517,2.5038,T
217,AF_78,0,2.227,4.559,12.396,-1.0,0,5.364,0.0,0.0,1.0,0.0,4.675,3.551,0.089,2.059,2.4669,T
218,AF_79,1,2.537,3.483,10.194,0.849,0,4.483,2.197,1.609,0.0,0.833,4.288,3.372,0.389,2.224,2.4771,T
219,AF_81,2,2.55,3.713,10.677,1.0,0,7.909,1.946,0.0,1.224,0.889,4.908,3.611,0.169,4.177,2.5224,T
221,AF_83,0,1.682,2.599,0.0,0.445,0,5.818,1.609,0.0,0.863,0.552,4.124,3.261,0.008,4.078,2.5416,T
222,AF_84,2,2.303,3.796,9.984,0.354,0,6.623,1.609,0.0,0.811,0.667,4.708,3.528,0.15,4.155,2.5775,T
225,BT_096,3,2.557,3.652,10.826,1.211,0,8.273,2.303,0.0,0.722,0.84,4.919,3.61,0.295,5.179,2.5185,T
226,BT_238,20,3.858,4.873,15.826,3.391,1,39.592,7.152,8.089,1.022,0.854,5.845,4.253,-0.187,26.521,2.5944,T
227,BR_01,14,3.002,3.843,13.859,3.046,1,30.256,6.771,7.561,0.725,0.788,5.669,3.959,-0.431,19.338,2.6096,T
228,BR_02,14,3.109,3.843,13.934,3.132,1,30.256,6.778,7.566,0.725,0.749,5.689,3.974,-0.357,19.479,2.5922,T
229,BR_03,21,3.076,3.844,14.276,3.146,1,43.918,7.176,8.024,0.744,0.674,5.747,4.004,-0.827,29.061,2.5705,T
230,BR_04,22,2.981,4.748,14.346,2.986,0,34.251,6.653,7.319,0.455,0.749,5.741,4.075,0.483,-999.0,2.6435,T
231,BR_05,22,2.973,4.929,14.354,3.011,0,34.052,6.589,7.248,0.542,0.71,5.74,4.072,0.068,-999.0,2.5821,T
234,BR_08,18,2.981,4.931,13.935,3.065,1,33.933,6.669,7.418,0.514,0.836,5.594,4.067,-0.012,13.923,2.5551,T
235,BR_09,18,3.039,3.934,14.253,3.165,1,38.574,7.081,7.888,0.316,0.717,5.694,3.913,-0.87,20.4,2.5599,T
236,BR_10,18,3.112,3.906,14.408,3.245,1,38.574,7.125,7.928,0.316,0.745,5.733,3.931,-0.519,20.487,2.5832,T
239,BR_13,15,3.022,3.919,14.055,3.147,1,35.333,6.81,7.496,0.349,0.78,5.643,4.103,-0.245,18.855,2.5353,T
240,BR_14,18,3.034,3.927,14.235,3.158,1,42.905,7.101,7.842,0.297,0.794,5.673,3.906,-0.002,22.958,2.5416,T
242,BR_16,15,3.025,3.88,13.725,2.968,1,30.46,6.823,7.585,0.131,0.731,5.665,3.873,-0.513,12.882,2.549,T
243,BR_17,15,2.979,3.794,14.018,3.142,1,35.634,6.955,7.744,0.702,0.735,5.755,3.97,-0.082,23.766,2.5478,T
244,BR_18,22,3.013,3.885,14.271,3.15,1,46.155,7.133,7.883,0.286,0.779,5.672,4.11,-0.183,22.732,2.5955,T
245,BR_19,12,3.087,4.049,13.797,3.083,1,28.287,6.572,7.298,0.669,0.716,5.681,4.122,-0.067,15.484,2.6053,T
246,BR_20,12,3.086,4.049,13.797,3.083,1,29.279,6.572,7.298,0.669,0.716,5.681,4.121,-0.383,13.832,2.5145,T
247,BR_21,12,3.086,4.049,13.797,3.083,1,29.832,6.572,7.298,0.669,0.716,5.68,4.121,-0.543,13.692,2.5276,T
248,BR_22,18,3.273,3.888,14.708,3.39,1,30.064,7.284,8.266,0.362,0.628,5.833,4.077,-0.554,16.908,2.5378,T
249,BR_23,21,3.273,3.938,14.718,3.391,1,32.613,7.378,8.378,0.276,0.639,5.897,4.077,-0.738,16.625,2.6263,T
250,BR_24,15,3.012,3.872,13.697,2.932,1,30.46,6.804,7.594,0.131,0.693,5.655,3.869,-0.175,12.562,2.6484,T
251,BR_25,15,3.306,3.993,14.591,3.37,1,22.639,7.147,8.224,0.353,0.566,5.908,4.117,-0.604,13.125,2.6075,T
252,BR_26,12,3.084,3.934,13.332,2.888,0,22.973,6.572,7.394,0.0,0.706,5.711,3.87,0.066,8.41,2.601,T
253,BR_27,10,3.001,3.884,13.519,2.829,1,22.877,6.372,7.033,0.286,0.906,5.604,4.057,-0.092,10.852,2.5575,T
254,BR_28,9,3.048,4.593,13.758,3.081,1,24.818,6.293,7.101,0.735,0.706,5.639,3.889,-0.076,12.343,2.5289,T
255,BR_29,9,3.081,4.371,13.758,3.081,1,24.818,6.304,7.101,0.735,0.706,5.645,3.893,-0.08,12.259,2.4928,T
