No,logTg,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1
348,2.5658,0.185185185,0.717199698,0.63987069,0.725353406,0.784561258,0,0.220472592,0.633750333,0.576470588,0.411865374,0.954,0.796523517,0.71394574,0.60943887,0.952226931
349,2.5575,0.111111111,0.708889449,0.591810345,0.70448565,0.621895695,0,0.142429706,0.5943572,0.493185789,0.223046207,0.958,0.781441718,0.772013327,0.546636938,0.946869839
350,2.5092,0,0.814908084,0.778448276,0.7904657,0.420529801,0,0.119701561,0,0,0.741015402,0.292,0.592280164,0.579247977,0.540319584,0.94563816
351,2.5623,0.111111111,0.742130446,0.633405172,0.734655162,0.647557947,0,0.187425678,0.624301304,0.530460105,0.310325157,1,0.815184049,0.804854831,0.542177629,0.949341689
352,2.5705,0.185185185,0.766053891,0.645258621,0.746833119,0.773178808,0,0.172599639,0.697631089,0.649970879,0.184255562,1,0.835889571,0.826749167,0.466369379,0.947038781
353,2.5353,0.074074074,0.565348779,0.59612069,0.632886604,0.085678808,0,0.087805439,0,0,0.832287507,0,0.672546012,0.677296525,0.484949833,0.944056327
354,2.5752,0.185185185,0.765298413,0.645905172,0.749097362,0.784768212,0,0.190436917,0.701756721,0.662434479,0.28693668,1,0.836145194,0.829128986,0.493125232,0.948437515
355,2.5717,0.111111111,0.698816419,0.637068966,0.708279787,0.750206954,0,0.190897234,0.614186851,0.564239953,0.495151169,0.969,0.796267894,0.786768206,0.539576366,0.950777231
356,2.6314,0.148148148,0.683706875,0.708836207,0.7037513,0.726821192,1,0.158233918,0.618046314,0.564239953,0.539646321,1,0.796267894,0.791527844,0.46228168,0.947655092
357,2.5786,0.037037037,0.522790229,0.612068966,0.520592375,0.085678808,0,0.053435115,0,0,0.553907587,0,0.610685072,0.574012375,0.499814195,0.94468302
358,2.5694,0.148148148,0.764291111,0.643534483,0.7413255,0.727649007,0,0.156526909,0.687383551,0.641700641,0.192241871,1,0.82898773,0.820561637,0.48197696,0.946799052
359,2.549,0.111111111,0.734072022,0.780818966,0.806988556,0.612168874,0,0.177720664,0.36904445,0,0.789503708,0.806,0.714723926,0.711089957,0.544407284,0.949056657
360,2.5224,0.148148148,0.642407454,0.651724138,0.71648002,0.70736755,0,0.163930339,0.608863455,0.496563774,0.683399886,1,0.805981595,0.799143265,0.452991453,0.946836805
361,2.5172,0.111111111,0.675648451,0.600215517,0.679884952,0.62272351,0,0.157735241,0.553500133,0.450902737,0.337706788,1,0.728271984,0.714421704,0.541062802,0.948255359
362,2.5119,0.111111111,0.760010073,0.590301724,0.760234992,0.746274834,1,0.21489125,0.688847485,0.640768783,0.337136338,0.975,0.805470348,0.700142789,0.447045708,0
363,2.4728,0.037037037,0.547972803,0.629094828,0.569487791,0.669081126,0,0.265660363,0.377029545,0.315433896,0.276668568,0.856,0.621676892,0.616849119,0.850241546,0.950677187
364,2.3674,0.074074074,0.701334676,0.779525862,0.811027477,0.666804636,0,0.260673597,0.360393931,0.298776937,0.837421563,0.942,0.646728016,0.682056164,0.489037533,0.952493087
365,2.3075,0,0.557542181,0.291810345,0.53221957,0.181084437,0,0.079845794,0,0,0.370792926,0.371,0.455265849,0.329842932,0.498699368,0
366,2.5529,0.074074074,0.81868547,0.725431034,0.795728536,0.681498344,1,0.095899344,0.360393931,0,0.267541358,0.94,0.656697342,0.637315564,0.62541806,0.946547998
367,2.6265,0.074074074,0.672626542,0.620689655,0.663668074,0.54884106,1,0.090509801,0.377029545,0.226674432,0.411865374,0.759,0.574897751,0.57829605,0.632107023,0.947394599
368,2.6416,0.296296296,0.769327625,0.666594828,0.791934398,0.789321192,1,0.262112087,0.725445834,0.676528829,0.243011979,0.789,0.849693252,0.844359829,0.607952434,0.951986258
369,2.6591,0.148148148,0.687987912,0.624137931,0.6965302,0.741721854,1,0.139322567,0.669417088,0.588934188,0.323445522,0.761,0.787832311,0.693479296,0.457450762,0.948527177
370,2.6601,0.148148148,0.7690758,0.996982759,0.848356894,0.774213576,1,0.179581112,0.710939579,0.653348864,0.754135767,0.77,0.929192229,0.82341742,0.401709402,0.94914632
371,2.6939,0.148148148,0.765550239,0.995905172,0.847377761,0.780215232,1,0.179581112,0.705749268,0.644496214,0.754135767,0.77,0.926635992,0.89671585,0.405797101,0.948998141
